HumanJudgement, ModelProbability, Label, LengthOfUtterance
4.25,-32.2418,False,8
5.0,-17.5906,False,8
3.2,-16.4006,False,6
4.7,-3.0058,False,6
4.55,-18.946500000000004,False,8
4.35,-20.379000000000005,False,8
4.2,-13.108499999999998,False,7
4.9,-1.6306,False,5
3.8,-2.2599000000000005,False,8
4.05,-29.0514,False,7
4.25,-48.889,False,11
4.05,-9.6524,False,7
4.15,-21.491100000000003,False,11
3.65,-22.435400000000005,False,7
4.6,-16.231699999999996,False,10
4.15,-17.895100000000003,False,11
4.5,-28.9561,False,7
3.45,-55.121900000000004,False,11
3.95,-22.917300000000004,False,9
4.35,-12.517599999999998,False,8
4.25,-21.2312,False,11
3.95,-17.1438,False,8
4.8,-5.599199999999999,False,8
4.75,-6.2909999999999995,False,7
3.85,-25.481,False,11
4.85,-4.5211999999999986,True,8
3.7,-20.999599999999997,True,10
4.45,-4.534999999999999,True,8
2.95,-72.44630000000001,True,12
3.5,-24.921600000000005,True,12
5.05,-6.7214,True,7
3.5,-12.328499999999998,True,5
2.75,-45.9932,True,11
3.7,-14.522100000000004,True,7
2.65,-37.61889999999998,True,10
5.0,-14.385699999999996,True,5
2.8,-12.4205,True,11
4.8,-6.077299999999999,True,7
3.7,-16.383100000000002,True,9
4.9,-2.7597000000000005,True,5
3.2,-23.446900000000007,True,12
4.8,-0.4271,True,5
4.3,-3.3310000000000004,True,5
3.15,-25.854300000000002,True,9
4.55,-7.2929,True,9
3.85,-21.543400000000002,True,13
4.55,-10.508399999999998,True,10
4.5,-7.0968,True,7
2.8,-14.702800000000002,True,7
3.05,-34.6332,True,11
4.8,-7.318900000000002,False,7
4.3,-35.9411,False,7
4.1,-24.7792,False,5
4.35,-24.140300000000003,False,10
4.5,-18.634999999999998,False,10
4.65,-11.668900000000002,False,7
4.4,-20.186199999999996,False,8
4.85,-3.9804000000000004,False,6
4.5,-29.9149,False,7
4.25,-7.1242,False,11
4.45,-25.4751,False,8
2.9,-18.7663,False,4
4.5,-18.333399999999997,False,10
4.65,-5.825999999999999,False,6
4.0,-29.8014,False,9
3.9,-18.976099999999995,False,7
3.35,-22.204799999999995,False,6
4.05,-10.271700000000001,False,7
4.25,-22.4296,False,8
4.5,-0.42699999999999994,False,5
4.2,-2.1841999999999997,False,8
3.45,-31.028000000000002,False,9
3.1,-31.020999999999994,False,5
4.3,-8.5215,False,9
4.6,-12.122700000000002,False,9
2.9,-26.8834,True,8
4.25,-8.2039,True,9
3.35,-18.498299999999993,True,6
4.65,-12.961499999999997,True,10
3.9,-21.362000000000002,True,8
3.4,-20.061899999999998,True,7
2.5,-34.45889999999999,True,10
4.8,-3.9804000000000004,True,6
3.15,-29.8025,True,11
4.25,-13.483600000000001,True,9
2.4,-7.693299999999999,True,5
4.9,-3.0497999999999994,True,4
2.45,-30.9706,True,6
4.95,-1.6709,True,6
2.55,-16.115900000000003,True,6
3.9,-11.945500000000001,True,10
4.45,-17.8915,True,6
4.3,-18.0172,True,7
2.25,-30.226999999999997,True,6
